Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0603,2,1uF,C15849
"C10, C11, C14, C22, C28, C29, C3, C30, C5, C6, C7, C8, C9",0402,13,100nF,
C12,0805,1,10uF,C15850
"C13, C17, C18",0805,3,10uF,
"C15, C16",0402,2,15pF,C1548
C2,0402,1,100nF,C1525
"C20, C25",CP_Elec_8x10,2,100uF,C970687
C21,0603,1,22nF 50V,C21122
C23,0603,1,4.7uF,C19666
"C24, C26",0603,2,100nF 50V,
C27,0603,1,100nF 50V,C14663
D5,SOT-23,1,BAV99,C2500
EXM2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J16,PinHeader_1x01_P2.54mm_Vertical,1,SFS1,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,PCF,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J5,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,EXF,
J6,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,THO,
J7,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,HE,
J8,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,BL_PROBE,
J9,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,BL_SERVO,
P1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Plug,C165948
"R1, R2",0402,2,27.4o,C26971
"R10, R11, R12",0402,3,20kΩ,C25765
R3,0603,1,1ko,C21190
"R5, R6",0603,2,1k,C21190
"R8, R9",1206,2,100mΩ,C25334
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,SOT-223-3_TabPin2,1,NCP1117-1.5_SOT223,
U3,QFN50P500X500X90-29N,1,TMC2209-LA,C2150710
U4,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
Y1,Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
